#話している相手	アイコン	吹き出し（1~）or画像（101~）	テキスト内容
相手	レナ	1	初めましてこんにちは。
自分	自分	1	またか。友達登録していないのに…どなたですか？
自分	自分	1	今、俺それどころじゃないんですよ
相手	レナ	1	…身に覚えのない犯罪に巻き込まれてるということですね？
自分	自分	1	…！
相手	レナ	1	恐らく何者かがあなたのスマホの情報をハッキングし
相手	レナ	1	あなたを犯罪者に仕立てあげている
自分	自分	1	そうです。俺は何にもしていないんです
自分	自分	1	ハッキングされていたなんて…一体だれが…？
相手	レナ	1	ハッキングをし返して
相手	レナ	1	確たる証拠を掴んで、嫌疑を晴らしましょう。
自分	自分	1	ハッキング！？　俺がですか？
自分	自分	1	というかあなたこそ何者？
相手	レナ	1	私も同じように犯罪者として仕立て上げられた内のひとりです。
自分	自分	1	もしかして、先月、強盗殺人犯で指名手配されてた宮内レナ・・・・！？
相手	レナ	1	はい　そうです。
相手	レナ	1	人の証言よりも、ネットの履歴の方が証拠となりえる時代、
相手	レナ	1	今の状態で警察に事情聴取受けたら、即逮捕されてオワリ。
相手	レナ	1	このままだとあなたは黙って刑務所にいくことになります
自分	自分	1	・・・・。
自分	自分	1	ハッキング、俺にもできるでしょうか？
相手	レナ	1	ええ
相手	レナ	1	私たちの組織が作った特殊なウイルスを使えば
自分	自分	1	わかりました。やります
相手	レナ	1	事前にあなたのスマホのIP情報見せてもらったのだけど
相手	レナ	1	神田の辺りで、おかしな動きをしていたのを見ました。
自分	自分	1	神田は俺の大学がある場所です。
相手	レナ	1	なるほど、じゃあまずは大学のネットワークをハッキングしましょうか
自分	自分	1	不本意だけど…分かりました。
相手	レナ	1	では早速、専用データベースのアクセス権限と特殊ウイルスを付与します。
相手	レナ	1	ファイアーウォールに待ち構える手ごわいセキュリテイエネミーに気を付けてください
相手	レナ	1	検討を祈ります
